project_id,project_name,project_slug,cmc_id,symbol,value,previous_value,metric_slug,timestamp,unix_time
af5ef080-5c7b-423a-b06d-01a1e3a3b57f,Ethereum,ethereum,1027,ETH,971,971.0,fcas,2021-04-18T00:00:00Z,1618704000
50cdfe5b-c07b-40ce-b14f-b422ca1391d0,Cardano,cardano,2010,ADA,959,958.0,fcas,2021-04-18T00:00:00Z,1618704000
8480c16c-1841-475e-8c1d-ae90e104cdf5,Chainlink,chainlink,1975,LINK,932,928.0,fcas,2021-04-18T00:00:00Z,1618704000
3fd7909e-23f8-45c8-a64b-fe004a9ef406,Decentraland,decentraland,1966,MANA,930,930.0,fcas,2021-04-18T00:00:00Z,1618704000
e5fbc1da-5f39-49b2-a3a5-b7b30ac46466,Uniswap,uniswap,7083,UNI,923,917.0,fcas,2021-04-18T00:00:00Z,1618704000
4d85843e-7513-48aa-bd85-f586f71553b0,EOS,eos,1765,EOS,909,910.0,fcas,2021-04-18T00:00:00Z,1618704000
3645ff2a-4f62-49e3-aa6c-962b3249d8d0,Synthetix Network Token,,2586,SNX,908,905.0,fcas,2021-04-18T00:00:00Z,1618704000
0fc27c41-8cf2-4cc7-85c9-d41bec3c445b,Stellar,stellar,512,XLM,908,907.0,fcas,2021-04-18T00:00:00Z,1618704000
6cfc1e44-64bb-4495-9a11-45c1ac61d25f,Polkadot NEW,polkadot-new,6636,DOT,905,906.0,fcas,2021-04-18T00:00:00Z,1618704000
99099f04-f8cc-4f20-9d66-42b267f2ef00,Algorand,algorand,4030,ALGO,901,899.0,fcas,2021-04-18T00:00:00Z,1618704000
41f1daf0-7c41-4cef-a87c-b9f9c6c1ae08,yearn.finance,yearn-finance,5864,YFI,896,900.0,fcas,2021-04-18T00:00:00Z,1618704000
d7d0982f-718f-481f-abb9-4d592a9a4269,Aave,aave,7278,AAVE,895,891.0,fcas,2021-04-18T00:00:00Z,1618704000
7c8798b1-5f74-4aa6-b0a0-b63ca9f75a02,Maker,maker,1518,MKR,892,879.0,fcas,2021-04-18T00:00:00Z,1618704000
6b0c9fa1-ad31-4333-b5ec-da848451a591,Balancer,balancer,5728,BAL,891,890.0,fcas,2021-04-18T00:00:00Z,1618704000
307bf5d7-4729-4172-9a4b-75edbbbb4349,Horizen,horizen,1698,ZEN,885,881.0,fcas,2021-04-18T00:00:00Z,1618704000
7d9f417d-6646-4545-a992-48289a52f80c,Bitcoin,bitcoin,1,BTC,882,896.0,fcas,2021-04-18T00:00:00Z,1618704000
d0dc6fe2-a096-4315-b101-52c0249ddd3e,Compound,compound,5692,COMP,881,881.0,fcas,2021-04-18T00:00:00Z,1618704000
4e90d7d3-d487-499e-881c-303772aeafa9,TRON,tron,1958,TRX,880,878.0,fcas,2021-04-18T00:00:00Z,1618704000
31a6b1f8-8ff4-45e8-b846-3468a75f72e6,LUNA,luna,4172,LUNA,879,882.0,fcas,2021-04-18T00:00:00Z,1618704000
d167cc8c-4e6a-4eb4-b70e-fd2d60ebf3be,Zilliqa,zilliqa,2469,ZIL,876,875.0,fcas,2021-04-18T00:00:00Z,1618704000
e3cddec4-58d4-46b9-86ea-74b3a9b02de8,Monero,monero,328,XMR,874,853.0,fcas,2021-04-18T00:00:00Z,1618704000
